TitleClean,AuthorClean,AuthorMore,Remove,Pages,WorldCatLink,GoodreadsLink,HasImage,GoodreadsRating,GoodreadsReviews,Category,PubYear,BibNum
Blood Brothers,"Nelson, Colleen",,TRUE,,,,TRUE,,,,2017,3261813
Show Mode,"Rivera, Raquel",,TRUE,,,,TRUE,,,,2017,3236332
The Bodies of the Ancients,"Millet, Lydia",,TRUE,,,,TRUE,,,,2017,3229156
Texan’s Baby,"Han, Barb",,TRUE,,,,TRUE,,,,2016,3176850
Across the Floor,"Deen, Natasha",,TRUE,,,,TRUE,,,,2016,3171375
Dust Up with the Detective,"Winters, Danica",,TRUE,,,,TRUE,,,,2016,3227070
Shotgun,"Joyner, C. Courtney",,TRUE,,,,TRUE,,,,2016,3226003
Billy Buckhorn Supranormal,"Robinson, Gary",,TRUE,,,,TRUE,,,,2015,3140297
Celestial Invasion,"McFarlane, Glendon",,TRUE,,,,TRUE,,,,2014,3068523
The Shadow of Things to Come,"Efoui, Kossi","(translator) Turner, Chris",TRUE,,,,TRUE,,,,2013,3204072
The Shipwreck,"Riel, Jørn","(illustrator) Cann, Helen ",TRUE,,,,TRUE,,,,2011,3282232
Give Me Fever,"Bryant, Niobia",,TRUE,,,,TRUE,,,,2010,3275555
Stella in Heaven,"Buchwald, Art",,,165,https://www.worldcat.org/title/stella-in-heaven/oclc/45066085,https://www.goodreads.com/book/show/151601.Stella_in_Heaven,TRUE,3.1,117,"spouses, death",2000,3284047
Visitors from Oz,"Gardner, Martin",,,189,https://www.worldcat.org/title/visitors-from-oz-the-wild-adventures-of-dorothy-the-scarecrow-and-the-tin-woodman/oclc/52053657,https://www.goodreads.com/book/show/902453.Visitors_from_Oz,TRUE,3.34,47,"magic, gangs",1998,3282198
The World Full of Women,"Metzger, Wendell",,TRUE,,,,TRUE,,,,1996,1720851
A Burden of Earth and Other Stories,"Boswroth, Beth",,,165,https://www.worldcat.org/title/burden-of-earth-and-other-stories/oclc/32132198,https://www.goodreads.com/book/show/592339.A_Burden_of_Earth_and_Other_Stories,TRUE,5,1,short stories,1995,1612847
The Journey That Time,"Metzger, Wendell",,TRUE,,,,TRUE,,,,1995,1714302
Stripping,"Pagan, Kennedy",,,160,https://www.worldcat.org/title/stripping/oclc/810455789,https://www.goodreads.com/book/show/379841.Stripping_and_Other_Stories ,TRUE,3.57,136,women,1994,1330936
A Disturbance in One Place,"Kirshenbaum, Binnie",,,,https://www.worldcat.org/title/disturbance-in-one-place/oclc/877889686,https://www.goodreads.com/book/show/1062909.A_Disturbance_in_One_Place,TRUE,3.36,101,"women, adultery, promiscuity",1994,1338713
He & She,"Metzger, Wendell",,TRUE,,,,TRUE,,,,1994,1392577
The Quest for Shar-I-Sabs,"Bier, Phillip",,,270,https://www.worldcat.org/title/quest-for-shar-i-sabs/oclc/29594083,https://www.goodreads.com/book/show/301986.The_Quest_for_Shar_I_Sabs,TRUE,0,0,"mennonites, russia",1993,1318532
Doctor Criminale,"Bradbury, Malcolm",,,,https://www.worldcat.org/title/doctor-criminale/oclc/968119751,https://www.goodreads.com/book/show/1043093.Doctor_Criminale,TRUE,3.58,167,"doctors & medicine humor, satire, british & irish humor ",1992,1274010
