TitleClean,AuthorClean,AuthorMore,Remove,Pages,WorldCatLink,GoodreadsLink,HasImage,GoodreadsRating,GoodreadsReviews,Category,PubYear,BibNum
The Lost Years,"Brancati, Vitaliano","(translator) Creagh, Patrick",,207,https://www.worldcat.org/title/lost-years/oclc/31901215,https://www.goodreads.com/book/show/2419401.The_Lost_Years,TRUE,3.52,27,"biography & autobiography, women",1992,1720593
Sea of Lentils,"Benítez-Rojo, Antonio","(illustrator) Lea, Sydney | (translator) Maraniss, James ",,201,https://www.worldcat.org/title/sea-of-lentils/oclc/1103750422,https://www.goodreads.com/book/show/3167180-sea-of-lentils ,TRUE,3.54,26,government,1990,573307
Superspill,"Becker, Mary Kay | Coburn, Patricia",,,161,https://www.worldcat.org/title/superspill-an-account-of-the-1978-grounding-at-bird-rocks/oclc/21487193,,TRUE,,,oil spills,1989,1301800
Shaihu Umar,"Balewa, Abubakar Tafawa","(translator) Hiskett, Mervin ",,79,https://www.worldcat.org/title/shaihu-umar-a-novel/oclc/652536493,https://www.goodreads.com/book/show/777225.Shaihu_Umar,TRUE,3.38,34,,1989,537153
Baron Bagge | Count Luna,"Lernet-Holenia, Alexandra",,,252,https://www.worldcat.org/title/count-luna-baron-bagge/oclc/220586776,https://www.goodreads.com/book/show/1175031.Baron_Bagge_Count_Luna ,TRUE,4.15,26,,1988,521198
Megda,"Kelley, Emma Dunham",,,394,https://www.worldcat.org/title/megda/oclc/876229472,https://www.goodreads.com/book/show/1252809.Megda,TRUE,3,3,black women writers,1988,491018
The Magic We Do Here,"Rudner, Lawrence",,,212,https://www.worldcat.org/title/magic-we-do-here/oclc/582054605,https://www.goodreads.com/book/show/4810859-the-magic-we-do-here ,TRUE,4,3,miracles,1988,488196
The Land,"Torres, Antônio",,,136,https://www.worldcat.org/title/land/oclc/14588735,https://www.goodreads.com/book/show/13074119-the-land ,TRUE,3.29,51,"portuguese, brazilian",1987,424541
False Colors,"Borgenicht, Miriam",,,183,https://www.worldcat.org/title/false-colors/oclc/1034665615,https://www.goodreads.com/book/show/4188430-false-colors,TRUE,3,1,mystery,1985,473024
Return to Región,"Benet, Juan","(translator) Rabassa, Gregory ",TRUE,315,https://www.worldcat.org/title/volveras-a-region/oclc/895875225,https://www.goodreads.com/book/show/69429.Volver_s_a_Regi_n,TRUE,3.59,131,"european literary history & criticism, european literature, spanish & portuese literature",1985,386875
Dead Ground,"Kerrigan, Philip",,,163,https://www.worldcat.org/title/lead-pencil-stories-and-sketches/oclc/644495072,https://www.goodreads.com/book/show/443866.Dead_Ground,TRUE,3.6,5,,1985,399123
Lead Pencil,"Botwinik, Berl",,,163,https://www.worldcat.org/title/lead-pencil-stories-and-sketches/oclc/644495072,https://www.goodreads.com/book/show/3836342-lead-pencil,TRUE,2,1,"jews, social life, translation",1984,360632
The Priestess of Henge,"Burnett, David",,,434,https://www.worldcat.org/title/priestess-of-henge-a-novel/oclc/1036802908,https://www.goodreads.com/book/show/3241109-the-priestess-of-henge,TRUE,3.7,10,children's stories,1982,357489
The Best of Thomas N. Scortia,"Scortia, Thomas N. ","(editor) Zebrowski, George",,244,https://www.worldcat.org/title/best-of-thomas-n-scortia/oclc/463302764,https://www.goodreads.com/book/show/1965587.The_Best_of_Thomas_N_Scortia,TRUE,0,0,science fiction,1981,202364
Waiting for Sheila,"Braine, John",,,186,https://www.worldcat.org/title/waiting-for-sheila/oclc/1075945304,https://www.goodreads.com/book/show/4437679-waiting-for-sheila,TRUE,2.84,19,"mystery & detective, romance",1980,159413
The 47th Snail,"Hinterberger, John","(illustrator) Rupp, Jacques",,217,https://www.worldcat.org/title/47th-snail/oclc/4884023,https://www.goodreads.com/book/show/11688576-the-47th-snail,TRUE,0,0,"seattle, humor",1978,125751
Promised Land,"Belfrage, Cedric",,,349,https://www.worldcat.org/title/promised-land-notes-for-a-history/oclc/471060286,https://www.goodreads.com/book/show/4772304-promised-land,TRUE,3,1,,1977,493509
George and Anna,"Rees, Barbara",,,156,https://www.worldcat.org/title/george-and-anna/oclc/740650868,,TRUE,,,,1976,23329
The Monarch,"Vasilikos, Vasilēs",,TRUE,216,https://www.worldcat.org/title/monarch/oclc/706859736,https://www.goodreads.com/book/show/4792353-the-monarch,TRUE,3.5,4,,1976,805687
"Hear, ye sons","Fineman, Irving",,,306,https://www.worldcat.org/title/hear-ye-sons-a-novel/oclc/729959502,https://www.goodreads.com/book/show/3908323-hear-ye-sons,TRUE,0,0,jews,1975,40234
Coward’s Paradise,"Elliston, Valerie",,,314,https://www.worldcat.org/title/cowards-paradise/oclc/562090410,https://www.goodreads.com/book/show/4643299-coward-s-paradise,TRUE,3,1,,1975,38197
Solomon’s Folly,"Croxford, Leslie",,,206,https://www.worldcat.org/title/solomons-folly/oclc/9761573,https://www.goodreads.com/book/show/3737602-solomon-s-folly,TRUE,0,0,,1974,125417
Holiday for ding-a-lings,"Ellis, Art",,TRUE,,,,TRUE,,,,1974,732586
"American Voices, American Women","Edwards, Lee R. | Diamond, Arlyn",,,,,https://www.goodreads.com/book/show/3417989-american-voices-american-women,TRUE,4,2,"american literature, women authors",1973,51678
No,"Major, Clarence",,,207,https://www.worldcat.org/title/no/oclc/894326361,https://www.goodreads.com/book/show/25957675-no,TRUE,4,1,african american,1973,60905
Call the Beast Thy Brother,"Turner, William",,,206,https://www.worldcat.org/title/call-the-beast-thy-brother/oclc/752028,https://www.goodreads.com/book/show/4384026-call-the-beast-thy-brother,TRUE,3,1,hiada indians,1973,51022
The knife edge,"Ellis, William",,,223,https://www.worldcat.org/title/knife-edge/oclc/748690,https://www.goodreads.com/book/show/3720894-the-knife-edge,TRUE,0,0,"detective, mystery",1973,51634
My Stillness,"Griffith, Paul",,,180,https://www.worldcat.org/title/my-stillness-a-novel/oclc/621997,https://www.goodreads.com/book/show/672759.My_Stillness,TRUE,4.33,3,,1972,59218
Don Juan’s Bar,"Callado, Antônio",,TRUE,271,https://www.worldcat.org/title/don-juans-bar-a-novel/oclc/292366,https://www.goodreads.com/book/show/1257701.Don_Juan_s_Bar,TRUE,3.56,16,"dictatorship, history, brazil",1972,8678
The Time of Adam,"Cullinan, Elizabeth",,,178,https://www.worldcat.org/title/time-of-adam-stories/oclc/695832915,,TRUE,,,,1971,62657
Kotik Letaev,"Bely, Andrei","(translator) Janecek, Gerald",,268,https://www.worldcat.org/title/kotik-letaev/oclc/40783942,https://www.goodreads.com/book/show/184914.Kotik_Letaev,TRUE,3.91,58,"children, russia",1971,40815
Invisible Swords,"Farrell, James",,,430,https://www.worldcat.org/title/invisible-swords/oclc/904561413,,TRUE,,,,1971,21791
The Mad Dog Press Archives,"Grendahl, J. Spencer",,,224,https://www.worldcat.org/title/mad-dog-press-archives-a-novel/oclc/16198028,https://www.goodreads.com/book/show/2011160.The_Mad_Dog_Press_Archives_A_Novel,TRUE,4,1,,1970,706026
Daughters of the Sun,"Egbuna, Obi",,,106,https://www.worldcat.org/title/daughters-of-the-sun-and-other-stories/oclc/107625,https://www.goodreads.com/book/show/2391959.Daughters_Of_The_Sun_And_Other_Stories,TRUE,4,1,"nigeria, social life, customs",1970,22688
When Greek Meets Greek,"Demetrios, George",,,245,https://www.worldcat.org/title/when-greek-meets-greek/oclc/76429,https://www.goodreads.com/book/show/3556724-when-greek-meets-greek,TRUE,0,0,,1970,768598
When the Fire Reaches Us,"Tinker, Barbara Wilson",,,,,https://www.goodreads.com/book/show/2717804-when-the-fire-reaches-us,TRUE,2.5,4,,1970,11055
Contact,"Finn, F. E. S.",,,174,https://www.worldcat.org/title/contact-short-stories-of-the-1960s-in-2-vols/oclc/877523805,,TRUE,,,,1969,9628
The Fanatics,"Dunbar, Paul Laurence",,,312,https://www.worldcat.org/title/fanatics/oclc/1072177385,https://www.goodreads.com/book/show/2046750.The_Fanatics_,TRUE,3.33,3,"american fiction, african american authors",1969,1359787
Aunt Sara’s Wooden God,"Gilbert, Mercedes",,,271,https://www.worldcat.org/title/aunt-saras-wooden-god/oclc/987283535,https://www.goodreads.com/book/show/35069983-aunt-sara-s-wooden-god,TRUE,0,0,"african american fiction, country life, mothers and sons",1969,3004213
In the House of the Lord,"Flynn, Robert",,,287,https://www.worldcat.org/title/in-the-house-of-the-lord/oclc/22629551,https://www.goodreads.com/book/show/2665979-in-the-house-of-the-lord,TRUE,4.09,11,texas,1969,87847
Fractions,"Field, Andrew",,,144,https://www.worldcat.org/title/fractions/oclc/696493,https://www.goodreads.com/book/show/4333083-fractions,TRUE,3,3,,1969,24827
The Problem,"Gilmore, F. Grant",,,,https://www.worldcat.org/title/problem-a-military-novel/oclc/944194926,https://www.goodreads.com/book/show/25148361-the-problem-a-military-novel,TRUE,0,0,,1969,3004212
Julia Harrington,"Bissell, Richard",,,,https://www.worldcat.org/title/julia-harrington/oclc/69653004#borrow,https://www.goodreads.com/book/show/22892565-julia-harrington,TRUE,3,10,,1969,5550
The Power Sellers,"Hall, Patrick",,,252,https://www.worldcat.org/title/power-sellers/oclc/435541,,TRUE,,,,1969,80549
Second Breath,"Beneš, Jan","(translator) Montgomery, Michael",,161,https://www.worldcat.org/title/second-breath/oclc/586732683,,TRUE,,,,1969,59774
The Love of Landry,"Dunbar, Paul Lawrence",,,,https://www.worldcat.org/title/love-of-landry/oclc/944429112,https://www.goodreads.com/book/show/38692299-the-love-of-landry,TRUE,4.33,6,,1969,60175
The Shape of Fear,"Peattie, Elia Wilkinson",,,,https://www.worldcat.org/title/shape-of-fear/oclc/1078567287,https://www.goodreads.com/book/show/12959174-the-shape-of-fear,TRUE,3.14,22,,1969,62118
Peak and Prairie,"Fuller, Anna",,,,https://www.worldcat.org/title/peak-and-prairie-from-a-colorado-sketch-book/oclc/920921767,https://www.goodreads.com/book/show/20558044-peak-and-prairie-from-a-colorado-sketch-book,TRUE,2,1,,1969,25190
A Little Book of Profitable Tales,"Field, Eugene",,,,https://www.worldcat.org/title/little-book-of-profitable-tales/oclc/980223704,https://www.goodreads.com/book/show/9932367-a-little-book-of-profitable-tales,TRUE,3.18,11,short stories,1969,594201
The Thunder and the Shouting,"Nicole, Christopher",,,281,https://www.worldcat.org/title/thunder-and-the-shouting/oclc/16561968,https://www.goodreads.com/book/show/12216131-the-thunder-and-the-shouting,TRUE,3.8,5,,1969,10488
The Living is Easy,"West, Dorothy",,,376,https://www.worldcat.org/title/living-is-easy/oclc/858229215,https://www.goodreads.com/book/show/158371.The_Living_is_Easy,TRUE,3.91,389,african american fiction,1969,3184362
In the Days of the Councillor,"Andersen, Tryggve","(translator) Stroup, Beatrice H. | (translator) Mathison, Stein",,262,https://www.worldcat.org/title/in-the-days-of-the-councillor/oclc/467442742,https://www.goodreads.com/book/show/18283731-in-the-days-of-the-councillor,TRUE,3.57,7,,1969,420352
The Heart of Happy Hollow,"Dunbar, Paul Lawrence","(illustrator) Kemble, E. W.",,,https://www.worldcat.org/title/heart-of-happy-hollow-a-collection-of-stories/oclc/920913343,https://www.goodreads.com/book/show/29349353-the-heart-of-happy-hollow,TRUE,3.96,26,,1969,13390
Counter Paradise,"Fleming, Nichol",,,191,https://www.worldcat.org/title/counter-paradise/oclc/10530219,https://www.goodreads.com/book/show/11186094-counter-paradise,TRUE,3,5,,1968,700738
38 Short Stories,"Timko, Michael | Oliver, Clinton",,,716,https://www.worldcat.org/title/38-short-stories-an-introductory-anthology/oclc/21592927,https://www.goodreads.com/book/show/791750.38_Short_Stories,TRUE,4.33,3,short stories,1968,81384
The Conflagration,"Fedin, Konstantin","(translator) Sharise, Olga | (editor) Bean, Bryan",,,https://www.worldcat.org/title/conflagration/oclc/113750,https://www.goodreads.com/book/show/16114896-the-conflagration,TRUE,3.67,3,Soviet Union,1968,22370
"The Drowning, the Dancing","Nilssen, Jerome",,,165,https://www.worldcat.org/title/drowning-the-dancing/oclc/424855,,TRUE,,,,1968,84535
The Second Inheritance,"Bragg, Melvyn",,,266,https://www.worldcat.org/title/second-inheritance/oclc/439830370,https://www.goodreads.com/book/show/20639920-the-second-inheritance,TRUE,3,7,,1967,178488
Promise Morning,"Mercer, Charles",,,192,https://www.worldcat.org/title/promise-morning/oclc/1007777943,,TRUE,,,,1966,144067
The Bright Feathers,"Culp, John",,,320,https://www.worldcat.org/title/bright-feathers/oclc/16891445,https://www.goodreads.com/book/show/42445756-the-bright-feathers,TRUE,3,1,western,1965,128114
The Travelers,"Fetler, Andrew",,,273,https://www.worldcat.org/title/travelers-a-novel/oclc/1166100,,TRUE,,,,1965,127392
Mr Capon,"Hall, Jenni",,,125,https://www.worldcat.org/title/mr-capon/oclc/30290719,,TRUE,,,,1965,287770
Famous Tales of the Fantastic,"Van Thal, Herbert",,,140,https://www.worldcat.org/title/famous-tales-of-the-fantastic/oclc/221417362,https://www.goodreads.com/book/show/12955828-famous-tales-of-the-fantastic,TRUE,3.67,3,fantasy,1965,178796
Falling Through the Night,"Fedoroff, Alexander",,,237,https://www.worldcat.org/title/falling-through-the-night/oclc/559869428,,TRUE,,,,1964,243947
What Time Collects,"Farrell, James",,,421,https://www.worldcat.org/title/what-time-collects/oclc/883562612,,TRUE,,,,1964,720308
Three Cheers for Nothing ,"Kinsley, Peter",,,158,https://www.worldcat.org/title/three-cheers-for-nothing/oclc/561597881,,TRUE,,,,1964,187554
The Six Wounds,"Cuddon, J. A.",,,264,https://www.worldcat.org/title/six-wounds/oclc/1590963,,TRUE,,,"Brazil, stigmatization",1964,211021
The Second Stone,"Fiedler, Leslie",,,,https://www.worldcat.org/title/second-stone-a-love-story/oclc/752838662,,TRUE,,,,1963,582248
Young Crankshaw,"Hemley, Cecil",,,319,https://www.worldcat.org/title/young-crankshaw/oclc/559423568,,TRUE,,,,1963,174441
Northern Affair,"Findley, D. K.",,,224,https://www.worldcat.org/title/northern-affair/oclc/13385881,https://www.goodreads.com/book/show/13560857-northern-affair,TRUE,3,1,"adventure, Canada, arctic, Inuit",1963,70119
Harvest on the Don,"Sholokhov, Mikhail","(translator) Stevens, H. C.",,399,https://www.worldcat.org/title/harvest-on-the-don/oclc/12501023,https://www.goodreads.com/book/show/626402.Harvest_on_the_Don,TRUE,3.98,343,Russia,1961,426914
So Was Alaska,"Snider, Gerritt","(illustrator) Hafling, Jane",,95,https://www.worldcat.org/title/so-was-alaska/oclc/8991906,,TRUE,,,"Alaska, frontier and pioneer life",1961,69403
The Benefactor,"Flores, María",,,280,https://www.worldcat.org/title/benefactor/oclc/563673667,,TRUE,,,,1960,171005
The Good Light,"Bjarnhof, Karl","(translator) Walford, Naomi",,272,https://www.worldcat.org/title/good-light/oclc/252674812,https://www.goodreads.com/book/show/21527363-the-good-light,TRUE,4,4,,1960,128298
Mrs. Sherman’s Summer,"Fischer, Marjorie",,,254,https://www.worldcat.org/title/mrs-shermans-summer/oclc/154633370,https://www.goodreads.com/book/show/10843829-mrs-sherman-s-summer,TRUE,0,0,,1960,170962
The Winter Rider,"Fleming, Berry",,,,https://www.worldcat.org/title/winter-rider/oclc/928884925,https://www.goodreads.com/book/show/25212367-the-winter-rider,TRUE,3,1,"suspense, relationships",1960,171120
One Star General,"Morgan, Al",,,,https://www.worldcat.org/title/one-star-general/oclc/1026247133,https://www.goodreads.com/book/show/17664003-one-star-general,TRUE,4.33,3,,1959,306502
"Tell Me, Stranger","Flood, Charles Bracelen",,,188,https://www.worldcat.org/title/tell-me-stranger/oclc/225028970,https://www.goodreads.com/book/show/6387096-tell-me-stranger,TRUE,5,3,romance,1959,302681
The Reunion,"Molloy, Robert",,,331,https://www.worldcat.org/title/reunion/oclc/926799878,https://www.goodreads.com/book/show/40548219-the-reunion,TRUE,0,0,South Carolina,1959,720274
The Constant Star,"Foote, Dorothy Norris",,,,https://www.worldcat.org/title/constant-star/oclc/752872117,,TRUE,,,,1959,185739
No Love for Johnnie,"Feinburgh, Wilfred",,,232,https://www.worldcat.org/title/no-love-for-johnnie/oclc/30257140,https://www.goodreads.com/book/show/43840539-no-love-for-johnnie,TRUE,2.5,2,,1959,185686
But Will They Get It in Des Moines?,"Flink, Stanley",,,310,https://www.worldcat.org/title/but-will-they-get-it-in-des-moines-a-novel/oclc/3065811,https://www.goodreads.com/book/show/18857248-but-will-they-get-it-in-des-moines,TRUE,3,1,,1959,213026
The Brooks Legend,"Ellis, William Donohue",,,352,https://www.worldcat.org/title/brooks-legend/oclc/12409648,https://www.goodreads.com/book/show/15815984-the-brooks-legend,TRUE,0,0,historical,1958,126470
The Madstone,"Faralla, Dana",,,,https://www.worldcat.org/title/madstone/oclc/810765383,,TRUE,,,,1958,427345
The Running Iron,"Fish, Rachel Ann",,TRUE,,,,TRUE,,,,1957,167846
A Man to Ride With,"Farris, Jack",,,222,https://www.worldcat.org/title/man-to-ride-with/oclc/1036641512,,TRUE,,,,1957,168631
Silver Spoon,"Gilbert, Edwin",,,,https://www.worldcat.org/title/silver-spoon/oclc/175072348,https://www.goodreads.com/book/show/9218802-silver-spoon,TRUE,3,1,,1957,136792
The Hon. Rocky Slade,"Haines, William Wister",,,204,https://www.worldcat.org/title/hon-rocky-slade/oclc/5176092,,TRUE,,,,1957,139587
War Country,"Turner, William O.",,,172,https://www.worldcat.org/title/war-country/oclc/9477683,https://www.goodreads.com/book/show/10574012-war-country,TRUE,3,1,,1957,715759
Alie Dear,"Barry, Arthur",,,175,https://www.worldcat.org/title/alie-dear/oclc/13106693,,TRUE,,,,1956,227224
The Hardhats,"Newell, H. M.",,,338,https://www.worldcat.org/title/hardhats/oclc/2961634,https://www.goodreads.com/book/show/3397850-the-hardhats,TRUE,2.67,3,"dams, northwest, labor camps, widowers, engineers, Pacific Northwest",1956,144282
The Frozen Jungle,"Lawrence, Earl",,,182,https://www.worldcat.org/title/frozen-jungle/oclc/1007827586,,TRUE,,,,1956,708859
The Seed is Sown,"Boetzkes, Ottilie",,,152,https://www.worldcat.org/title/seed-is-sown-a-historical-novel-of-life-in-revolutionary-south-america-a-century-ago/oclc/10342917,,TRUE,,,,1956,230659
Murder is Insane,"Barns, Glenn",,,184,https://www.worldcat.org/title/murder-is-insane/oclc/30220846,,TRUE,,,,1956,130676
The Plums Hang High,"Finney, Gertrude E.",,,245,https://www.worldcat.org/title/plums-hang-high/oclc/980824430,https://www.goodreads.com/book/show/3921549-the-plums-hang-high,TRUE,4.3,27,,1955,126789
A German Officer,"Groussard, Serge","(translator) White, Antonia",,218,https://www.worldcat.org/title/german-officer/oclc/1901511,,TRUE,,,,1955,266886
The Golden Witch,"Ross, Zola",,,,https://www.worldcat.org/title/golden-witch/oclc/503715686,,TRUE,,,,1955,145325
A Circle of Trees,"Faralla, Dana",,,221,https://www.worldcat.org/title/circle-of-trees-a-novel/oclc/314501143,,TRUE,,,,1955,126522
Not the Glory,"Boulle, Pierre","(translator) Fielding, Xan",,235,https://www.worldcat.org/title/not-the-glory/oclc/271390519,https://www.goodreads.com/book/show/22589098-not-the-glory,TRUE,3.4,15,,1955,128457
The Seagull on the Step,"Boyle, Kay",,,247,https://www.worldcat.org/title/seagull-on-the-step/oclc/10732197,https://www.goodreads.com/book/show/25233470-the-seagull-on-the-step,TRUE,3,2,France,1955,420954
Korean Boy,"Pak, Chong-Yŏng | Carroll, Jock",,,184,https://www.worldcat.org/title/korean-boy/oclc/835854617,,TRUE,,,,1955,184193
The Twelfth Physician,"Gibbs, Willa",,,319,https://www.worldcat.org/title/twelfth-physician/oclc/4768104,https://www.goodreads.com/book/show/12409939-the-twelfth-physician,TRUE,4.5,2,"France, historical",1954,109409
Yakima,"Johnson, Inez Noelle",,,322,https://www.worldcat.org/title/yakima-a-novel/oclc/10033953,,TRUE,,,"Yakima, Washington",1954,184072
The Quiet Woman,"Fisher, Agnes Adams",,,,https://www.worldcat.org/title/quiet-woman/oclc/936607406,,TRUE,,,,1954,183817
The Golden Fool,"Divine, David",,,,https://www.worldcat.org/title/golden-fool/oclc/752608628,https://www.goodreads.com/book/show/36305115-the-golden-fool,TRUE,4,1,,1954,132052
Jonathan Blair,"Ellis, William Donohue",,,462,https://www.worldcat.org/title/jonathan-blair-bounty-lands-lawyer/oclc/41211521,https://www.goodreads.com/book/show/17159257-jonathan-blair,TRUE,0,0,frontier and pioneer life,1954,126471
The Cave and the Rock,"Faure, Raoul C.",,,276,https://www.worldcat.org/title/cave-and-the-rock/oclc/1683669,https://www.goodreads.com/book/show/32617269-the-cave-and-the-rock,TRUE,0,0,,1953,615554
Love is a Bridge,"Flood, Charles Bracelen",,,349,https://www.worldcat.org/title/love-is-a-bridge/oclc/786870,https://www.goodreads.com/book/show/11898544-love-is-a-bridge,TRUE,4.5,4,"romance, divorce",1953,430993
The Trouble at Hungerfords,"Harris, Cyril",,,274,https://www.worldcat.org/title/trouble-at-hungerfords/oclc/1084040887,,TRUE,,,,1953,183386
The Secret Masters,"Kersh, Gerald",,,196,https://www.worldcat.org/title/secret-masters/oclc/462914648,https://www.goodreads.com/book/show/9990623-the-secret-masters,TRUE,3.7,23,adventure,1953,280920
To Follow a Flag,"Henry, Will",,,165,https://www.worldcat.org/title/to-follow-a-flag/oclc/865238837,https://www.goodreads.com/book/show/1966447.To_Follow_a_Flag,TRUE,4,7,"Yakama, Indians of North America, Northwest",1953,166372
My Uncle Louis,"Fontaine, Robert Louis",,,294,https://www.worldcat.org/title/my-uncle-louis/oclc/561322739,,TRUE,,,,1953,126933
The Naked Risk,"Demarest, Phyllis Gordon",,,383,https://www.worldcat.org/title/naked-risk/oclc/632433033,,TRUE,,,,1953,265962
In the Bright April Weather,"Mitchell, Susanna Valentine",,,172,https://www.worldcat.org/title/in-the-bright-april-weather/oclc/1739115,,TRUE,,,,1952,586208
Gateway to Fortune,"Bourne, Peter",,,348,https://www.worldcat.org/title/gateway-to-fortune/oclc/607590446,,TRUE,,,Panama,1952,142084
Monkey Shines,"Miers, Earl Schenck","(illustrator) Galdone, Paul",,207,https://www.worldcat.org/title/monkey-shines-a-baseball-story/oclc/1036742377,,TRUE,,,,1952,314473
Yet Other Waters,James Farrell,,,319,https://www.worldcat.org/title/yet-other-waters/oclc/63546836,https://www.goodreads.com/book/show/6891038-yet-other-waters,TRUE,3.5,2,,1952,165939
Splint Road,"Mellinger, May",,,277,https://www.worldcat.org/title/splint-road-a-novel/oclc/1376969,,TRUE,,,"rural poor, working class, southern states",1952,183174
The Citadel of the Lakes,"Orr, Myron David",,,,https://www.worldcat.org/title/citadel-of-the-lakes/oclc/964351962,https://www.goodreads.com/book/show/23704075-the-citadel-of-the-lakes,TRUE,3.4,5,,1952,101162
Boy at the Window,"Dodson, Owen",,,211,https://www.worldcat.org/title/boy-at-the-window-a-novel/oclc/507410547,https://www.goodreads.com/book/show/4190463-boy-at-the-window,TRUE,5,4,,1951,123911
Doctor in Buckskin,"Allen, T. D.",,,314,https://www.worldcat.org/title/doctor-in-buckskin/oclc/17361341,https://www.goodreads.com/book/show/3274011-doctor-in-buckskin,TRUE,4,5,,1951,702398
The Faith of Mrs. Kelleen,"Flannigan, Katherine Mary","(illustrator) Rasmusson, Daniel",,250,https://www.worldcat.org/title/faith-of-mrs-kelleen/oclc/224373663,https://www.goodreads.com/book/show/3291727-the-faith-of-mrs-kelleen,TRUE,4.8,5,,1951,126898
The Fortune Tellers,"Fleming, Berry",,,442,https://www.worldcat.org/title/fortune-tellers/oclc/5529403,https://www.goodreads.com/book/show/18165958-the-fortune-tellers,TRUE,2.5,2,,1951,126904
Give Me Your Golden Hand,"Eaton, Evelyn",,,,https://www.worldcat.org/title/give-me-your-golden-hand/oclc/937645374,https://www.goodreads.com/book/show/35004904-give-me-your-golden-hand,TRUE,0,0,,1951,125466
The Baseball Reader,"Graber, Ralph",,,302,https://www.worldcat.org/title/baseball-reader/oclc/1675666,,TRUE,,,,1951,259446
On the Trail of 1960,"Wiley, Ray H.",,,156,https://www.worldcat.org/title/on-the-trail-of-1960-a-utopian-novel/oclc/16810431,,TRUE,,,Utopias,1950,340191
Young Hearts,"Malets, D.","(translator) Richards, Solomon",,237,https://www.worldcat.org/title/young-hearts-a-novel-of-modern-israel/oclc/1080658558,,TRUE,,,,1950,165180
God Had Seven Days,"Misrock, Henry",,,279,https://www.worldcat.org/title/god-had-seven-days/oclc/1547699,,TRUE,,,"Christian life, Self-realization, Creation",1950,182695
The World at Six,"Fabricius, Johan",,,224,https://www.worldcat.org/title/world-at-six/oclc/1684350,,TRUE,,,,1950,597126
Laurel,"Fellows, Alice",,,309,https://www.worldcat.org/title/laurel-a-novel/oclc/31257799,,TRUE,,,,1950,182708
The Newel Post,"Fish, Rachel Ann",,,,https://www.worldcat.org/title/newel-post/oclc/752856538,,TRUE,,,,1950,182768
